zone_id,entry_date,r_multiple,outcome,type,structure,width_atr,base_length,base_wick_frac,avg_atr,departure_body_atr,departure_close_ratio,leg_out_clear_atr,leg_out_disp_atr,leg_out_candles,leg_out_velocity,leg_out_vol_exp,leg_in_disp_atr,leg_in_candles,leg_in_velocity,disp_base_ratio,arrival_cleanliness,departure_volume_ratio,base_volume_ratio,trend_score,trend_aligned,weekly_trend_align,weekly_in_zone,weekly_dist_atr,weekly_zone_strength,weekly_zone_fresh,weekly_confluence_score,weekly_confirmed,freshness_score,strength_pit,symbol,label,is_demand,struct_DBD,struct_DBR,struct_RBD,struct_RBR
Z0102,2025-03-06,2.0,win,demand,DBR,1.2022,2,0.5383,247.0154,1.0698,0.8239,1.1779,0.8712,3,0.2904,1.5146,1.5859,3,0.5286,0.7247,0.6667,1.1124647695245022,0.9548,0.0,0,0,0,10.2367,0.7092,0,0.1636,0,0.45,0.7285,^NSEI,1,1,0,1,0,0
Z0101,2025-03-06,-1.0,loss,supply,DBD,0.6505,3,0.6963,245.4272,1.2578,0.9425,1.7347,0.1713,3,0.0571,1.6584,0.2092,3,0.0697,0.2633,0.3333,1.9531291516837013,0.9243,1.0,1,0,0,2.5823,0.5887,1,0.3677,0,0.85,0.7752,^NSEI,0,0,1,0,0,0
Z0084,2025-03-06,2.0,win,supply,DBD,0.7834,2,0.9271,69.7558,1.3904,0.8164,1.6057,0.0,1,0.0,6.6646,1.1744,3,0.3915,0.0,0.3333,2.8845846417327494,1.8731,1.0,1,0,0,3.1158,0.5455,0,0.1841,0,0.45,0.7763,TCS.NS,1,0,1,0,0,0
Z0039,2025-03-11,-1.0,loss,demand,RBR,1.2635,3,0.8031,27.1162,1.1006,0.8493,2.9136,1.605,4,0.4012,1.251,1.1595,3,0.3865,1.2702,0.6667,2.072578328264472,1.0323,1.0,1,0,0,3.2593,0.669,0,0.2088,0,0.85,0.5696,INFY.NS,0,1,0,0,0,1
Z0104,2025-03-27,3.8221,timeout,supply,RBD,1.7141,2,0.5845,254.4228,0.8415,0.8766,1.0526,1.2623,4,0.3156,1.0469,1.8687,3,0.6229,0.7364,1.0,0.8540248911777328,1.0136,0.4145,0,0,1,0.0,0.5887,0,0.7342,1,0.65,0.8476,^NSEI,1,0,0,0,1,0
Z0103,2025-04-01,-1.0,loss,demand,RBR,1.6923,2,0.5028,241.5287,0.7542,0.8062,1.8712,1.3176,3,0.4392,1.5335,1.2123,3,0.4041,0.7786,0.6667,1.7192068132706242,1.0796,0.457,0,0,0,1.3894,0.7251,1,0.3959,0,0.85,0.616,^NSEI,0,1,0,0,0,1
Z0062,2025-04-04,-1.0,loss,demand,RBR,0.8963,1,0.4868,1.6903,1.9755,0.8642,1.4035,0.0,1,0.0,5.181,0.1946,3,0.0649,0.0,0.6667,3.945634660205538,1.6576,0.0,0,0,1,0.0,0.6675,0,0.7297,1,0.85,0.6314,IDFCFIRSTB.NS,0,1,0,0,0,1
Z0070,2025-04-07,2.0,win,demand,DBR,1.3817,3,0.7405,38.3389,1.9611,0.9192,1.7,0.0,1,0.0,2.3533,0.8023,3,0.2674,0.0,0.6667,1.43737010268831,0.765,0.8931,1,0,1,0.0,0.718,1,0.8686,1,0.65,0.8249,TCS.NS,1,1,0,1,0,0
Z0100,2025-04-21,-1.0,loss,supply,RBD,0.7691,1,0.1306,286.6268,1.4993,0.8808,1.5682,0.3124,4,0.0781,1.0724,2.1912,3,0.7304,0.4062,1.0,1.1161502648900306,1.2665,0.5631,1,0,0,0.33,0.6325,0,0.4511,0,0.85,0.666,^NSEI,0,0,0,0,1,0
Z0063,2025-04-28,1.0964,timeout,demand,RBR,1.8906,3,0.7437,2.1352,1.3024,0.9383,2.054,0.8449,3,0.2816,1.4655,1.0597,3,0.3532,0.4469,0.6667,1.4736162199425311,1.335,0.6023,1,0,1,0.0,0.6301,0,0.7892,1,0.45,0.6021,IDFCFIRSTB.NS,1,1,0,0,0,1
